id;placette;longueur;largeur;fleur;sous-parcelle;date;JJ;etat;note
MMA1001;A1;70;72;1;1;2017-05-08;128;;
MMA1002;A1;56;49;1;1;2017-05-08;128;;
MMA1003;A1;50;41;1;1;2017-05-08;128;;
MMA1004;A1;56;56;1;1;2017-05-08;128;;
MMA1005;A1;56;57;1;1;2017-05-08;128;;
MMA1006;A1;50;42;0;1;2017-05-08;128;;
MMA1007;A1;52;42;0;1;2017-05-08;128;;
MMA1008;A1;55;41;0;1;2017-05-08;128;;
MMA1009;A1;52;39;0;2;2017-05-08;128;;
MMA1010;A1;54;46;1;2;2017-05-08;128;;
MMA1011;A1;69;61;1;2;2017-05-08;128;;
MMA1012;A1;54;55;1;3;2017-05-08;128;;
MMA1013;A1;50;44;0;3;2017-05-08;128;;
MMA1014;A1;52;53;1;3;2017-05-08;128;;
MMA1015;A1;56;55;1;3;2017-05-08;128;;
MMA1016;A1;52;42;1;5;2017-05-08;128;;
MMA1017;A1;50;40;1;3;2017-05-08;128;;
MMA1018;A1;50;44;1;3;2017-05-08;128;;
MMA1019;A1;50;42;0;3;2017-05-08;128;;
MMA1020;A1;50;39;0;3;2017-05-08;128;;
MMA1021;A1;52;41;0;3;2017-05-08;128;;
MMA1022;A1;56;47;0;3;2017-05-08;128;;
MMA1023;A1;52;45;0;3;2017-05-08;128;;
MMA1024;A1;50;40;0;3;2017-05-08;128;;
MMA1025;A1;51;42;0;3;2017-05-08;128;;
MMA1026;A1;51;54;1;3;2017-05-08;128;;
MMA1027;A1;50;39;0;3;2017-05-08;128;;
MMA1028;A1;51;49;0;3;2017-05-08;128;;
MMA1029;A1;52;42;0;3;2017-05-08;128;;
MMA1030;A1;58;52;1;5;2017-05-08;128;;
MMA1031;A1;69;68;1;5;2017-05-08;128;;
MMA1032;A1;60;50;0;3;2017-05-08;128;;
MMA1033;A1;52;45;0;3;2017-05-08;128;;
MMA1034;A1;50;46;1;3;2017-05-08;128;;
MMA1035;A1;50;31;0;3;2017-05-08;128;;
MMA1036;A1;52;40;0;3;2017-05-08;128;;
MMA1037;A1;56;39;0;4;2017-05-08;128;;
MMA1038;A1;51;35;0;4;2017-05-08;128;;
MMA1039;A1;55;43;0;4;2017-05-08;128;;
MMA1040;A1;50;35;1;4;2017-05-08;128;;
MMA1041;A1;50;36;0;4;2017-05-08;128;;
MMA1042;A1;57;45;0;4;2017-05-08;128;;
MMA1043;A1;66;55;0;4;2017-05-08;128;;
MMA1044;A1;50;49;1;3;2017-05-12;132;;
MMA1045;A1;51;38;0;1;2017-05-12;132;;
MMA1046;A1;51;51;1;1;2017-05-12;132;;
MMA1047;A1;54;44;1;3;2017-05-12;132;;
MMA1048;A1;50;51;1;1;2017-05-12;132;;
MMA1049;A1;50;38;0;4;2017-05-12;132;;
MMA1050;A1;50;37;0;4;2017-05-12;132;;
MMA1051;A1;50;49;1;3;2017-05-12;132;;
MMA1052;A1;50;34;0;3;2017-05-12;132;;
MMA1053;A1;52;51;0;3;2017-05-12;132;;
MMA1054;A1;61;44;0;5;2017-05-12;132;;
MMA1055;A1;60;55;1;5;2017-05-12;132;;
MMA1056;A1;59;52;1;5;2017-05-12;132;;
MMA1057;A1;50;50;1;5;2017-05-12;132;;
MMA1058;A1;60;52;1;5;2017-05-12;132;;
MMA1059;A1;55;48;1;5;2017-05-12;132;;
MMA1060;A1;51;45;0;5;2017-05-12;132;;
MMA1062;A1;50;41;1;5;2017-05-12;132;;
MMA1063;A1;51;52;1;5;2017-05-12;132;;
MMA1064;A1;54;52;1;5;2017-05-12;132;;
MMA1065;A1;50;45;1;5;2017-05-12;132;;
MMA1066;A1;62;55;1;6;2017-05-12;132;;
MMA1067;A1;72;60;1;6;2017-05-12;132;;
MMA1068;A1;60;55;0;6;2017-05-12;132;;
MMA1069;A1;52;45;0;6;2017-05-12;132;;
MMA1070;A1;52;47;1;7;2017-05-12;132;;
MMA1071;A1;51;46;1;7;2017-05-12;132;;
MMA1072;A1;61;63;1;7;2017-05-12;132;;
MMA1073;A1;50;47;1;7;2017-05-12;132;;
MMA1074;A1;51;48;0;7;2017-05-12;132;;
MMA1075;A1;61;52;0;7;2017-05-12;132;;
MMA1076;A1;70;49;0;7;2017-05-12;132;;
MMA1077;A1;56;57;0;7;2017-05-12;132;;
MMA1078;A1;51;42;0;8;2017-05-12;132;;
MMA1079;A1;50;39;0;8;2017-05-12;132;;
MMA1080;A1;59;40;0;8;2017-05-12;132;;
MMA1081;A1;61;52;0;8;2017-05-12;132;;
MMA1082;A1;62;60;1;8;2017-05-12;132;;
MMA1083;A1;57;48;0;8;2017-05-12;132;;
MMA1084;A1;52;40;0;8;2017-05-12;132;;
MMA1085;A1;50;37;0;8;2017-05-12;132;;
MMA1086;A1;63;52;0;8;2017-05-12;132;;
MMA1087;A1;51;44;1;8;2017-05-12;132;;
MMA1088;A1;67;55;0;8;2017-05-12;132;;
MMA1089;A1;50;38;1;8;2017-05-12;132;;
MMA1090;A1;85;86;1;8;2017-05-12;132;;
MMA1091;A1;52;51;1;8;2017-05-12;132;;
MMA1092;A1;60;56;1;9;2017-05-12;132;;
MMA1093;A1;63;54;1;9;2017-05-12;132;;
MMA1094;A1;50;43;0;10;2017-05-12;132;;
MMA1095;A1;52;51;1;10;2017-05-12;132;;
MMA1096;A1;62;61;1;10;2017-05-12;132;;
MMA1097;A1;65;61;0;10;2017-05-12;132;;
MMA1098;A1;50;52;1;10;2017-05-12;132;;
MMA1099;A1;55;48;1;11;2017-05-12;132;;
MMA1100;A1;51;38;1;11;2017-05-12;132;;
