date;site_id;zone_id;note;temp_min;temp_max;hum_min;hum_max;vent_min;vent_max;pres_min;pres_max;prec_tot;prec_nat
"2024-09-30";"MF";"A";"Observation meteo du 2024-09-30 (automne)";"2";"20";"67";"81";"9";"25";"968";"990";"10";"P"
"2024-09-30";"MF";"B";"Observation meteo du 2024-09-30 (automne)";"1";"17";"70";"83";"5";"25";"983";"1030";"9";"B"
"2024-09-29";"MF";"A";"Observation meteo du 2024-09-29 (automne)";"4";"16";"67";"78";"10";"26";"995";"1016";;
"2024-09-29";"MF";"B";"Observation meteo du 2024-09-29 (automne)";"4";"20";"66";"81";"6";"25";"986";"1014";;
"2024-09-28";"MF";"A";"Observation meteo du 2024-09-28 (automne)";"5";"15";"60";"81";"10";"26";"988";"1040";"28";"P"
"2024-09-28";"MF";"B";"Observation meteo du 2024-09-28 (automne)";"2";"15";"63";"81";"7";"25";"979";"992";;
"2024-09-27";"MF";"A";"Observation meteo du 2024-09-27 (automne)";"3";"19";"62";"82";"7";"26";"983";"1015";;
"2024-09-27";"MF";"B";"Observation meteo du 2024-09-27 (automne)";"5";"15";"65";"76";"5";"28";"954";"1003";"10";"P"
"2024-09-26";"MF";"A";"Observation meteo du 2024-09-26 (automne)";"3";"19";"62";"82";"6";"27";"963";"1026";;
"2024-09-26";"MF";"B";"Observation meteo du 2024-09-26 (automne)";"2";"19";"65";"85";"5";"28";"995";"1035";"14";"P"
"2024-09-25";"MF";"A";"Observation meteo du 2024-09-25 (automne)";"2";"16";"62";"79";"8";"25";"990";"1017";;
"2024-09-25";"MF";"B";"Observation meteo du 2024-09-25 (automne)";"0";"19";"61";"83";"9";"29";"993";"1042";;
"2024-09-24";"MF";"A";"Observation meteo du 2024-09-24 (automne)";"2";"16";"61";"77";"10";"29";"977";"1011";;
"2024-09-24";"MF";"B";"Observation meteo du 2024-09-24 (automne)";"0";"18";"61";"81";"6";"29";"997";"1012";"8";"B"
"2024-09-23";"MF";"A";"Observation meteo du 2024-09-23 (automne)";"0";"20";"69";"79";"9";"30";"971";"1027";"19";"P"
"2024-09-23";"MF";"B";"Observation meteo du 2024-09-23 (automne)";"5";"20";"64";"76";"7";"26";"961";"1035";;
"2024-09-22";"MF";"A";"Observation meteo du 2024-09-22 (automne)";"3";"18";"63";"76";"10";"28";"978";"1050";"8";"P"
"2024-09-22";"MF";"B";"Observation meteo du 2024-09-22 (automne)";"0";"15";"64";"83";"6";"30";"962";"1017";"17";"P"
"2024-09-21";"MF";"A";"Observation meteo du 2024-09-21 (automne)";"1";"15";"65";"77";"9";"30";"974";"991";;
"2024-09-21";"MF";"B";"Observation meteo du 2024-09-21 (automne)";"0";"18";"63";"79";"10";"28";"996";"1016";"23";"P"
"2024-09-20";"MF";"A";"Observation meteo du 2024-09-20 (automne)";"0";"18";"65";"79";"5";"28";"956";"1041";;
"2024-09-20";"MF";"B";"Observation meteo du 2024-09-20 (automne)";"5";"15";"63";"75";"9";"28";"988";"1013";"5";"P"
"2024-09-19";"MF";"A";"Observation meteo du 2024-09-19 (automne)";"5";"18";"70";"77";"9";"28";"960";"1042";;
"2024-09-19";"MF";"B";"Observation meteo du 2024-09-19 (automne)";"4";"17";"61";"78";"9";"25";"957";"1036";;
"2024-09-18";"MF";"A";"Observation meteo du 2024-09-18 (automne)";"4";"17";"63";"75";"10";"28";"988";"1023";;
"2024-09-18";"MF";"B";"Observation meteo du 2024-09-18 (automne)";"5";"19";"69";"80";"9";"27";"978";"1045";"14";"P"
"2024-09-17";"MF";"A";"Observation meteo du 2024-09-17 (automne)";"5";"15";"64";"85";"7";"27";"950";"968";;
"2024-09-17";"MF";"B";"Observation meteo du 2024-09-17 (automne)";"2";"19";"64";"78";"7";"29";"984";"1018";;
