site_id;zone_id;placette_numero;peuplement_id;date_placette;hauteur;obstruction_type;taux_obstruction;couverture_type;taux_couverture;rang_arbre;arbre_id
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"fougeres";"25";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"fougeres";"25";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"fougeres";"25";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"graminees";"53";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"graminees";"53";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"graminees";"53";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"mousses";"19";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"mousses";"19";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"C";"28";"mousses";"19";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"fougeres";"25";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"fougeres";"25";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"fougeres";"25";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"graminees";"53";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"graminees";"53";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"graminees";"53";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"mousses";"19";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"mousses";"19";"2";"BETALL"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"F";"35";"mousses";"19";"3";"ACESAC"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"fougeres";"25";"1";"FAGGRA"
"MF";"A";"1";"PEBO";"2024-05-07";"1";"T";"95";"fougeres";"25";"2";"BETALL"
