plant_id;date_identification;note_plant;site_id;zone_id;placette_numero;parcelle;date_debut_emplacement;date_fin_emplacement;est_actuel;note_emplacement;date_observation;note_observation;longueur;largeur;est_fruit;etat_id
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-05-27";"Observation du 2024-05-27 (printemps)";"51";"20";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-04";"Observation du 2024-06-04 (ete)";"265";"239";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-06";"Observation du 2024-06-06 (ete)";"309";"234";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-07";"Observation du 2024-06-07 (ete)";"137";"105";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-13";"Observation du 2024-06-13 (ete)";"267";"127";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-17";"Observation du 2024-06-17 (ete)";"81";"228";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-18";"Observation du 2024-06-18 (ete)";"334";"64";;"D"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-20";"Observation du 2024-06-20 (ete)";"256";"129";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-06-23";"Observation du 2024-06-23 (ete)";"347";"158";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-04";"Observation du 2024-07-04 (ete)";"163";"57";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-06";"Observation du 2024-07-06 (ete)";"249";"70";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-07";"Observation du 2024-07-07 (ete)";"215";"152";;"O"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-08";"Observation du 2024-07-08 (ete)";"96";"98";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-09";"Observation du 2024-07-09 (ete)";"196";"80";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-17";"Observation du 2024-07-17 (ete)";"205";"219";;"C"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-22";"Observation du 2024-07-22 (ete)";"209";"52";;"B"
"1001";"2024-05-10";"Plant observe en zone A";"MF";"A";"1";"0";"2024-05-17";"2024-08-08";"true";"";"2024-07-28";"Observation du 2024-07-28 (ete)";"209";"157";;"O"
