plantid;date;longueur;largeur;note
MMA1002;2017-05-15;80.48;58.66;Légère variabilité observée.
MMA1002;2017-06-15;176.91;173.79;Légère variabilité observée.
MMA1002;2017-07-15;173.78;154.51;Rien à signaler.
MMA1002;2017-08-15;66.57;59.10;Légère variabilité observée.
MMA1002;2017-09-15;136.38;70.96;Rien à signaler.
MMA1002;2017-10-15;177.28;124.00;Condition normale pour la saison.
MMA1004;2017-05-15;92.77;133.24;Condition normale pour la saison.
MMA1004;2017-06-15;142.37;118.67;Condition normale pour la saison.
MMA1004;2017-07-15;55.14;157.31;Légère variabilité observée.
MMA1004;2017-08-15;129.87;106.57;Condition normale pour la saison.
MMA1004;2017-09-15;67.03;63.01;Condition normale pour la saison.
MMA1004;2017-10-15;73.32;194.59;Condition normale pour la saison.
MMA1006;2017-05-15;137.60;126.82;Rien à signaler.
MMA1006;2017-06-15;78.89;180.42;Rien à signaler.
MMA1006;2017-07-15;123.20;72.56;Légère variabilité observée.
MMA1006;2017-08-15;183.61;195.98;Légère variabilité observée.
MMA1006;2017-09-15;184.72;60.81;Condition normale pour la saison.
MMA1006;2017-10-15;91.02;160.35;Condition normale pour la saison.
MMA1008;2017-05-15;73.52;188.95;Condition normale pour la saison.
MMA1008;2017-06-15;94.90;183.16;Rien à signaler.
MMA1008;2017-07-15;95.49;88.19;Condition normale pour la saison.
MMA1008;2017-08-15;134.25;57.93;Condition normale pour la saison.
MMA1008;2017-09-15;107.57;91.48;Légère variabilité observée.
MMA1008;2017-10-15;96.29;73.76;Condition normale pour la saison.
MMA1010;2017-05-15;80.62;108.56;Condition normale pour la saison.
MMA1010;2017-06-15;65.87;195.77;Condition normale pour la saison.
MMA1010;2017-07-15;192.05;107.13;Condition normale pour la saison.
MMA1010;2017-08-15;119.39;63.26;Condition normale pour la saison.
MMA1010;2017-09-15;148.18;136.68;Légère variabilité observée.
MMA1010;2017-10-15;101.03;116.23;Condition normale pour la saison.
MMA1012;2017-05-15;102.85;169.08;Condition normale pour la saison.
MMA1012;2017-06-15;180.31;136.63;Condition normale pour la saison.
MMA1012;2017-07-15;79.55;105.29;Condition normale pour la saison.
MMA2006;2017-05-15;164.74;112.70;Rien à signaler.
MMA3090;2017-06-15;106.20;164.64;Rien à signaler.
MMA4052;2017-07-15;189.97;141.55;Rien à signaler.
MMA1012;2017-08-15;54.34;165.52;Condition normale pour la saison.
MMA1012;2017-09-15;72.99;186.55;Condition normale pour la saison.
MMA1012;2017-10-15;80.01;154.00;Condition normale pour la saison.
MMA1014;2017-05-15;172.00;131.82;Condition normale pour la saison.
MMA1014;2017-06-15;67.64;151.00;Rien à signaler.
MMA1014;2017-07-15;82.24;97.74;Condition normale pour la saison.
MMA1014;2017-08-15;166.14;119.39;Légère variabilité observée.
MMA1014;2017-09-15;183.02;51.07;Condition normale pour la saison.
MMA1014;2017-10-15;54.06;103.30;Rien à signaler.
MMA1016;2017-05-15;120.55;100.19;Condition normale pour la saison.
MMA1016;2017-06-15;66.01;50.84;Condition normale pour la saison.
