plantid;date;etat;note
MMA1001;2017-07-15;O;Rien à signaler.
MMA1002;2017-07-15;O;Condition normale pour la saison.
MMA1003;2017-07-15;O;Condition normale pour la saison.
MMA1004;2017-07-15;O;Condition normale pour la saison.
MMA1005;2017-07-15;O;Condition normale pour la saison.
MMA1006;2017-07-15;O;Condition normale pour la saison.
MMA1007;2017-07-15;O;Condition normale pour la saison.
MMA1008;2017-07-15;O;Condition normale pour la saison.
MMA1009;2017-07-15;O;Condition normale pour la saison.
MMA1010;2017-07-15;O;Légère variabilité observée.
MMA1011;2017-07-15;O;Rien à signaler.
MMA1012;2017-07-15;O;Condition normale pour la saison.
MMA1013;2017-07-15;O;Rien à signaler.
MMA1014;2017-07-15;O;Condition normale pour la saison.
MMA1015;2017-07-15;O;Légère variabilité observée.
MMA1016;2017-07-15;O;Condition normale pour la saison.
MMA1017;2017-07-15;O;Condition normale pour la saison.
MMA1018;2017-07-15;O;Condition normale pour la saison.
MMA1019;2017-07-15;O;Condition normale pour la saison.
MMA1020;2017-07-15;O;Rien à signaler.
MMA1021;2017-07-15;O;Légère variabilité observée.
MMA1022;2017-07-15;O;Condition normale pour la saison.
MMA1023;2017-07-15;O;Légère variabilité observée.
MMA1024;2017-07-15;O;Légère variabilité observée.
MMA1025;2017-07-15;O;Rien à signaler.
MMA1026;2017-07-15;O;Condition normale pour la saison.
MMA1027;2017-07-15;O;Condition normale pour la saison.
MMA1028;2017-07-15;O;Légère variabilité observée.
MMA1029;2017-07-15;O;Rien à signaler.
MMA1030;2017-07-15;O;Condition normale pour la saison.
MMA1031;2017-07-15;O;Légère variabilité observée.
MMA1032;2017-07-15;O;Légère variabilité observée.
MMA1033;2017-07-15;O;Condition normale pour la saison.
MMB3045;2017-07-15;O;Rien à signaler.
MMA1034;2017-07-15;O;Légère variabilité observée.
MMA1035;2017-07-15;O;Légère variabilité observée.
MMA1036;2017-07-15;O;Condition normale pour la saison.
MMA1037;2017-07-15;O;Condition normale pour la saison.
MMA1038;2017-07-15;O;Condition normale pour la saison.
MMA1039;2017-07-15;O;Condition normale pour la saison.
MMA1040;2017-07-15;O;Condition normale pour la saison.
MMA1041;2017-07-15;O;Rien à signaler.
MMA1042;2017-07-15;O;Condition normale pour la saison.
MMA1043;2017-07-15;O;Condition normale pour la saison.
MMA1044;2017-07-15;O;Légère variabilité observée.
MMA1045;2017-07-15;O;Rien à signaler.
MMA1046;2017-07-15;O;Légère variabilité observée.
MMA1047;2017-07-15;O;Légère variabilité observée.
MMA1048;2017-07-15;O;Rien à signaler.
MMA1049;2017-07-15;O;Rien à signaler.
MMA1050;2017-07-15;O;Condition normale pour la saison.
MMA1051;2017-07-15;O;Condition normale pour la saison.
MMA1052;2017-07-15;O;Condition normale pour la saison.
MMA1053;2017-07-15;O;Condition normale pour la saison.
MMA1054;2017-07-15;O;Condition normale pour la saison.
MMA1055;2017-07-15;O;Rien à signaler.
MMA1056;2017-07-15;O;Légère variabilité observée.
MMA1057;2017-07-15;O;Légère variabilité observée.
MMA1058;2017-07-15;O;Condition normale pour la saison.
MMA1059;2017-07-15;O;Légère variabilité observée.
MMA1060;2017-07-15;O;Légère variabilité observée.
MMA1061;2017-07-15;O;Rien à signaler.
MMA1062;2017-07-15;O;Condition normale pour la saison.
MMA1063;2017-07-15;O;Condition normale pour la saison.
MMA1064;2017-07-15;O;Condition normale pour la saison.
MMA1065;2017-07-15;O;Condition normale pour la saison.
MMA1066;2017-07-15;O;Condition normale pour la saison.
MMA1067;2017-07-15;O;Rien à signaler.
MMA1068;2017-07-15;O;Légère variabilité observée.
MMA1069;2017-07-15;O;Rien à signaler.
MMA1070;2017-07-15;O;Légère variabilité observée.
MMA1071;2017-07-15;O;Rien à signaler.
MMA1072;2017-07-15;O;Condition normale pour la saison.
MMA1073;2017-07-15;O;Légère variabilité observée.
MMA1074;2017-07-15;O;Légère variabilité observée.
MMA1075;2017-07-15;O;Légère variabilité observée.
MMA1076;2017-07-15;O;Légère variabilité observée.
MMA1077;2017-07-15;O;Condition normale pour la saison.
MMA1078;2017-07-15;O;Condition normale pour la saison.
MMA1079;2017-07-15;O;Rien à signaler.
MMA1080;2017-07-15;O;Légère variabilité observée.
MMA1081;2017-07-15;O;Condition normale pour la saison.
MMA1082;2017-07-15;O;Légère variabilité observée.
MMA1083;2017-07-15;O;Condition normale pour la saison.
MMA1084;2017-07-15;O;Condition normale pour la saison.
MMA1085;2017-07-15;O;Rien à signaler.
MMA1086;2017-07-15;O;Condition normale pour la saison.
MMA1087;2017-07-15;O;Légère variabilité observée.
MMA1088;2017-07-15;O;Condition normale pour la saison.
MMA1089;2017-07-15;O;Condition normale pour la saison.
MMA1090;2017-07-15;O;Condition normale pour la saison.
MMA1091;2017-07-15;O;Condition normale pour la saison.
MMA1092;2017-07-15;O;Légère variabilité observée.
MMA1093;2017-07-15;O;Légère variabilité observée.
MMA1094;2017-07-15;O;Condition normale pour la saison.
MMA1095;2017-07-15;O;Condition normale pour la saison.
MMA1096;2017-07-15;O;Condition normale pour la saison.
MMA1097;2017-07-15;O;Rien à signaler.
MMA1098;2017-07-15;O;Légère variabilité observée.
MMA1099;2017-07-15;O;Rien à signaler.
MMA1100;2017-07-15;O;Légère variabilité observée.
MMA2001;2017-07-15;O;Condition normale pour la saison.
MMA2002;2017-07-15;O;Légère variabilité observée.
MMA2003;2017-07-15;O;Condition normale pour la saison.
MMA2004;2017-07-15;O;Condition normale pour la saison.
MMA2005;2017-07-15;O;Condition normale pour la saison.
MMA2006;2017-07-15;O;Condition normale pour la saison.
MMA2007;2017-07-15;O;Condition normale pour la saison.
MMA2008;2017-07-15;O;Rien à signaler.
MMA2009;2017-07-15;O;Légère variabilité observée.
MMA2010;2017-07-15;O;Rien à signaler.
MMA2011;2017-07-15;O;Légère variabilité observée.
MMA2012;2017-07-15;O;Légère variabilité observée.
MMA2013;2017-07-15;O;Condition normale pour la saison.
MMA2014;2017-07-15;O;Rien à signaler.
MMA2015;2017-07-15;O;Condition normale pour la saison.
MMA2016;2017-07-15;O;Légère variabilité observée.
MMA2017;2017-07-15;O;Condition normale pour la saison.
MMA2018;2017-07-15;O;Légère variabilité observée.
MMA2019;2017-07-15;O;Rien à signaler.
MMA2020;2017-07-15;O;Condition normale pour la saison.
MMA2021;2017-07-15;O;Condition normale pour la saison.
MMA2022;2017-07-15;O;Légère variabilité observée.
MMA2023;2017-07-15;O;Légère variabilité observée.
MMA2024;2017-07-15;O;Condition normale pour la saison.
MMA2025;2017-07-15;O;Rien à signaler.
MMA2026;2017-07-15;O;Légère variabilité observée.
MMA2027;2017-07-15;O;Légère variabilité observée.
MMA2028;2017-07-15;O;Légère variabilité observée.
MMA2029;2017-07-15;O;Condition normale pour la saison.
MMA2030;2017-07-15;O;Rien à signaler.
MMA2031;2017-07-15;O;Condition normale pour la saison.
MMA2032;2017-07-15;O;Rien à signaler.
MMA2033;2017-07-15;O;Condition normale pour la saison.
MMA2034;2017-07-15;O;Condition normale pour la saison.
MMA2035;2017-07-15;O;Condition normale pour la saison.
MMA2036;2017-07-15;O;Légère variabilité observée.
MMA2037;2017-07-15;O;Condition normale pour la saison.
MMA2038;2017-07-15;O;Rien à signaler.
MMA2039;2017-07-15;O;Condition normale pour la saison.
MMA2040;2017-07-15;O;Légère variabilité observée.
MMA2041;2017-07-15;O;Condition normale pour la saison.
MMA2042;2017-07-15;O;Légère variabilité observée.
MMA2043;2017-07-15;O;Légère variabilité observée.
MMA2044;2017-07-15;O;Condition normale pour la saison.
MMA2045;2017-07-15;O;Condition normale pour la saison.
MMA2046;2017-07-15;O;Condition normale pour la saison.
MMA2047;2017-07-15;O;Condition normale pour la saison.
MMA2048;2017-07-15;O;Condition normale pour la saison.
MMA2049;2017-07-15;O;Condition normale pour la saison.
MMA2050;2017-07-15;O;Condition normale pour la saison.
MMA2051;2017-07-15;O;Légère variabilité observée.
MMA2052;2017-07-15;O;Condition normale pour la saison.
MMA2053;2017-07-15;O;Condition normale pour la saison.
MMA2054;2017-07-15;O;Condition normale pour la saison.
MMA2055;2017-07-15;O;Condition normale pour la saison.
MMA2056;2017-07-15;O;Légère variabilité observée.
MMA2057;2017-07-15;O;Légère variabilité observée.
MMA2058;2017-07-15;O;Légère variabilité observée.
MMA2059;2017-07-15;O;Condition normale pour la saison.
MMA2060;2017-07-15;O;Condition normale pour la saison.
MMA2061;2017-07-15;O;Condition normale pour la saison.
MMA2062;2017-07-15;O;Rien à signaler.
MMA2063;2017-07-15;O;Rien à signaler.
MMA2064;2017-07-15;O;Légère variabilité observée.
MMA2065;2017-07-15;O;Légère variabilité observée.
MMA2066;2017-07-15;O;Légère variabilité observée.
MMA2067;2017-07-15;O;Légère variabilité observée.
MMA2068;2017-07-15;O;Condition normale pour la saison.
MMA2069;2017-07-15;O;Condition normale pour la saison.
MMA2070;2017-07-15;O;Rien à signaler.
MMA2071;2017-07-15;O;Condition normale pour la saison.
MMA2072;2017-07-15;O;Condition normale pour la saison.
MMA2073;2017-07-15;O;Condition normale pour la saison.
MMA2074;2017-07-15;O;Condition normale pour la saison.
MMA2075;2017-07-15;O;Condition normale pour la saison.
MMA2076;2017-07-15;O;Légère variabilité observée.
MMA2077;2017-07-15;O;Rien à signaler.
MMA2078;2017-07-15;O;Rien à signaler.
MMA2079;2017-07-15;O;Légère variabilité observée.
MMA2080;2017-07-15;O;Rien à signaler.
MMA2081;2017-07-15;O;Légère variabilité observée.
MMA2082;2017-07-15;O;Condition normale pour la saison.
MMA2083;2017-07-15;O;Condition normale pour la saison.
MMA2084;2017-07-15;O;Condition normale pour la saison.
MMA2085;2017-07-15;O;Rien à signaler.
MMA2086;2017-07-15;O;Légère variabilité observée.
MMA2087;2017-07-15;O;Légère variabilité observée.
MMA2088;2017-07-15;O;Rien à signaler.
MMA2089;2017-07-15;O;Rien à signaler.
MMA2090;2017-07-15;O;Légère variabilité observée.
MMA2091;2017-07-15;O;Rien à signaler.
MMA2092;2017-07-15;O;Condition normale pour la saison.
MMA2093;2017-07-15;O;Condition normale pour la saison.
MMA2094;2017-07-15;O;Rien à signaler.
MMA2095;2017-07-15;O;Condition normale pour la saison.
MMA2096;2017-07-15;O;Condition normale pour la saison.
MMA2097;2017-07-15;O;Condition normale pour la saison.
MMA2098;2017-07-15;O;Légère variabilité observée.
MMA2099;2017-07-15;O;Légère variabilité observée.
MMA2100;2017-07-15;O;Condition normale pour la saison.
MMA3001;2017-07-15;O;Condition normale pour la saison.
MMA3002;2017-07-15;O;Légère variabilité observée.
MMA3003;2017-07-15;O;Condition normale pour la saison.
MMA3004;2017-07-15;O;Légère variabilité observée.
MMA3005;2017-07-15;O;Condition normale pour la saison.
MMA3006;2017-07-15;O;Condition normale pour la saison.
MMA3007;2017-07-15;O;Légère variabilité observée.
MMA3008;2017-07-15;O;Condition normale pour la saison.
MMA3009;2017-07-15;O;Rien à signaler.
MMA3010;2017-07-15;O;Condition normale pour la saison.
MMA3011;2017-07-15;O;Condition normale pour la saison.
MMA3012;2017-07-15;O;Légère variabilité observée.
MMA3013;2017-07-15;O;Légère variabilité observée.
MMA3014;2017-07-15;O;Condition normale pour la saison.
MMA3015;2017-07-15;O;Condition normale pour la saison.
MMA3016;2017-07-15;O;Condition normale pour la saison.
MMA3017;2017-07-15;O;Condition normale pour la saison.
MMA3018;2017-07-15;O;Rien à signaler.
MMA3019;2017-07-15;O;Rien à signaler.
MMA3020;2017-07-15;O;Rien à signaler.
MMA3021;2017-07-15;O;Rien à signaler.
