plantid;date;typefloraison;note
MMA1003;2017-06-15;NA;Légère variabilité observée.
MMA1006;2017-06-15;FL;Condition normale pour la saison.
MMA1009;2017-06-15;FL;Légère variabilité observée.
MMA1012;2017-06-15;FL;Condition normale pour la saison.
MMA1015;2017-06-15;FL;Condition normale pour la saison.
MMA1018;2017-06-15;FR;Légère variabilité observée.
MMA1021;2017-06-15;FL;Rien à signaler.
MMA1024;2017-06-15;FR;Condition normale pour la saison.
MMA1027;2017-06-15;FR;Condition normale pour la saison.
MMA1030;2017-06-15;FL;Condition normale pour la saison.
MMA1033;2017-06-15;FL;Condition normale pour la saison.
MMA1036;2017-06-15;FR;Condition normale pour la saison.
MMA1039;2017-06-15;NA;Condition normale pour la saison.
MMA1042;2017-06-15;FL;Rien à signaler.
MMA1045;2017-06-15;FL;Condition normale pour la saison.
MMA1048;2017-06-15;FL;Condition normale pour la saison.
MMA1051;2017-06-15;FR;Légère variabilité observée.
MMA1054;2017-06-15;FL;Rien à signaler.
MMA1057;2017-06-15;FR;Rien à signaler.
MMA1060;2017-06-15;FR;Condition normale pour la saison.
MMA1063;2017-06-15;FR;Légère variabilité observée.
MMA1066;2017-06-15;FR;Légère variabilité observée.
MMA1069;2017-06-15;FR;Condition normale pour la saison.
MMA1072;2017-06-15;FR;Condition normale pour la saison.
MMA1075;2017-06-15;FL;Condition normale pour la saison.
MMA1078;2017-06-15;FR;Condition normale pour la saison.
MMA1081;2017-06-15;FL;Rien à signaler.
MMA1084;2017-06-15;FR;Légère variabilité observée.
MMA1087;2017-06-15;FL;Légère variabilité observée.
MMA1090;2017-06-15;FL;Légère variabilité observée.
MMA1093;2017-06-15;FR;Condition normale pour la saison.
MMA1096;2017-06-15;FL;Légère variabilité observée.
MMA1099;2017-06-15;NA;Légère variabilité observée.
MMA2002;2017-06-15;FR;Rien à signaler.
MMA2005;2017-06-15;FL;Rien à signaler.
MMA2008;2017-06-15;FL;Condition normale pour la saison.
MMA2011;2017-06-15;FR;Condition normale pour la saison.
MMA2014;2017-06-15;FL;Condition normale pour la saison.
MMA2017;2017-06-15;FL;Condition normale pour la saison.
MMA2020;2017-06-15;FR;Légère variabilité observée.
MMA2023;2017-06-15;FL;Condition normale pour la saison.
MMA2077;2017-06-15;FL;Rien à signaler.
MMB1035;2017-06-15;FR;Rien à signaler.
MMA2026;2017-06-15;NA;Condition normale pour la saison.
MMA2029;2017-06-15;FR;Condition normale pour la saison.
MMA2032;2017-06-15;FL;Condition normale pour la saison.
MMA2035;2017-06-15;FR;Rien à signaler.
MMA2038;2017-06-15;FL;Légère variabilité observée.
MMA2041;2017-06-15;FL;Rien à signaler.
MMA2044;2017-06-15;FR;Condition normale pour la saison.
MMA2047;2017-06-15;NA;Légère variabilité observée.
MMA2050;2017-06-15;FL;Légère variabilité observée.
MMA2053;2017-06-15;FR;Condition normale pour la saison.
MMA2056;2017-06-15;NA;Condition normale pour la saison.
MMA2059;2017-06-15;FL;Condition normale pour la saison.
MMA2062;2017-06-15;FL;Condition normale pour la saison.
MMA2065;2017-06-15;NA;Condition normale pour la saison.
MMA2068;2017-06-15;FL;Légère variabilité observée.
MMA2071;2017-06-15;FL;Condition normale pour la saison.
MMA2074;2017-06-15;FR;Rien à signaler.
MMB2058;2017-06-15;FR;Condition normale pour la saison.
MMA2080;2017-06-15;FR;Condition normale pour la saison.
MMA2083;2017-06-15;FL;Condition normale pour la saison.
MMA2086;2017-06-15;FL;Légère variabilité observée.
MMA2089;2017-06-15;FR;Condition normale pour la saison.
MMA2092;2017-06-15;NA;Légère variabilité observée.
MMA2095;2017-06-15;NA;Condition normale pour la saison.
MMA2098;2017-06-15;FL;Condition normale pour la saison.
MMA3001;2017-06-15;FR;Condition normale pour la saison.
MMA3004;2017-06-15;FR;Condition normale pour la saison.
MMA3007;2017-06-15;FL;Condition normale pour la saison.
MMA3010;2017-06-15;FR;Condition normale pour la saison.
MMA3013;2017-06-15;FL;Condition normale pour la saison.
MMA3016;2017-06-15;FR;Condition normale pour la saison.
MMA3019;2017-06-15;FL;Rien à signaler.
MMA3022;2017-06-15;FR;Légère variabilité observée.
MMA3025;2017-06-15;FL;Condition normale pour la saison.
MMA3028;2017-06-15;FR;Rien à signaler.
MMA3031;2017-06-15;FR;Condition normale pour la saison.
MMA3034;2017-06-15;FR;Légère variabilité observée.
MMA3037;2017-06-15;FL;Légère variabilité observée.
MMA3040;2017-06-15;NA;Légère variabilité observée.
MMA3043;2017-06-15;FR;Légère variabilité observée.
MMA3046;2017-06-15;FL;Légère variabilité observée.
MMA3049;2017-06-15;FL;Condition normale pour la saison.
MMA3052;2017-06-15;FL;Légère variabilité observée.
MMA3055;2017-06-15;FR;Condition normale pour la saison.
MMA3058;2017-06-15;FL;Condition normale pour la saison.
MMA3061;2017-06-15;FL;Légère variabilité observée.
MMA3064;2017-06-15;FR;Rien à signaler.
MMA3067;2017-06-15;NA;Condition normale pour la saison.
MMA3070;2017-06-15;FL;Condition normale pour la saison.
MMA3073;2017-06-15;FL;Condition normale pour la saison.
MMA3076;2017-06-15;FL;Rien à signaler.
MMA3079;2017-06-15;FL;Rien à signaler.
MMA3082;2017-06-15;FL;Rien à signaler.
MMA3085;2017-06-15;FR;Condition normale pour la saison.
MMA3088;2017-06-15;FL;Rien à signaler.
MMA3091;2017-06-15;FL;Condition normale pour la saison.
MMA3094;2017-06-15;FR;Condition normale pour la saison.
MMA3097;2017-06-15;FR;Légère variabilité observée.
MMA3100;2017-06-15;FL;Condition normale pour la saison.
MMA4003;2017-06-15;FL;Condition normale pour la saison.
MMA4006;2017-06-15;FL;Légère variabilité observée.
MMA4009;2017-06-15;FR;Rien à signaler.
MMA4012;2017-06-15;FR;Condition normale pour la saison.
MMA4015;2017-06-15;FL;Condition normale pour la saison.
MMA4018;2017-06-15;FR;Condition normale pour la saison.
MMA4021;2017-06-15;FL;Condition normale pour la saison.
