siteid;zoneid;date;humiditemin;humiditemax;note
S01;Z01;2017-05-01;41.31;87.79;Variations mineures.
S01;Z01;2017-05-02;52.44;81.92;Variations mineures.
S01;Z01;2017-05-03;34.52;82.54;Journée représentative.
S01;Z01;2017-05-04;43.75;70.61;Variations mineures.
S01;Z01;2017-05-05;41.18;88.15;Conditions stables.
S01;Z01;2017-05-06;32.82;75.97;Variations mineures.
S01;Z01;2017-05-07;37.80;73.56;Journée représentative.
S01;Z01;2017-05-08;59.92;89.89;Conditions stables.
S01;Z01;2017-05-09;57.25;83.24;Journée représentative.
S01;Z01;2017-05-10;43.88;75.37;Conditions stables.
S01;Z01;2017-05-11;32.78;87.05;Variations mineures.
S01;Z01;2017-05-12;54.18;72.50;Conditions stables.
S01;Z01;2017-05-13;37.55;72.26;Variations mineures.
S01;Z01;2017-05-14;43.58;80.36;Variations mineures.
S01;Z01;2017-05-15;48.23;73.63;Variations mineures.
S01;Z01;2017-05-16;59.79;89.59;Variations mineures.
S01;Z01;2017-05-17;41.93;84.28;Variations mineures.
S01;Z01;2017-05-18;37.83;71.61;Journée représentative.
S01;Z01;2017-05-19;44.57;77.03;Conditions stables.
S01;Z01;2017-05-20;46.52;74.78;Journée représentative.
S01;Z01;2017-05-21;35.54;70.82;Variations mineures.
S01;Z01;2017-05-22;35.16;84.46;Variations mineures.
S01;Z01;2017-05-23;31.16;80.71;Variations mineures.
S01;Z01;2017-05-24;38.61;72.60;Variations mineures.
S01;Z01;2017-05-25;37.70;70.58;Conditions stables.
S01;Z01;2017-05-26;33.46;89.98;Variations mineures.
S01;Z01;2017-05-27;55.48;80.11;Journée représentative.
S01;Z01;2017-05-28;54.50;70.76;Variations mineures.
S01;Z01;2017-05-29;37.65;77.65;Conditions stables.
S01;Z01;2017-05-30;46.70;84.36;Journée représentative.
S01;Z01;2017-05-31;36.84;73.73;Variations mineures.
S01;Z01;2017-06-01;43.95;73.97;Conditions stables.
S01;Z01;2017-06-02;53.54;71.28;Conditions stables.
S01;Z01;2017-06-03;49.87;82.76;Journée représentative.
S01;Z01;2017-06-04;59.33;86.48;Conditions stables.
S01;Z01;2017-06-05;40.33;89.80;Journée représentative.
S01;Z01;2017-06-06;37.74;85.31;Conditions stables.
S01;Z01;2017-06-07;32.51;77.22;Journée représentative.
S01;Z01;2017-06-08;46.46;80.74;Conditions stables.
S01;Z01;2017-06-09;38.08;73.48;Variations mineures.
S01;Z01;2017-06-10;55.59;86.12;Variations mineures.
S01;Z01;2017-06-11;48.36;86.21;Variations mineures.
S01;Z01;2017-06-12;52.14;87.45;Conditions stables.
S01;Z01;2017-06-13;47.21;71.99;Variations mineures.
S01;Z01;2017-06-14;34.02;88.92;Journée représentative.
S01;Z01;2017-06-15;41.16;79.46;Variations mineures.
S01;Z01;2017-06-16;50.48;82.50;Conditions stables.
S01;Z01;2017-06-17;54.38;72.81;Variations mineures.
S01;Z01;2017-06-18;36.38;80.57;Conditions stables.
S01;Z01;2017-06-19;36.09;74.12;Variations mineures.
S01;Z01;2017-06-20;33.98;70.17;Variations mineures.
S01;Z01;2017-06-21;57.34;77.37;Variations mineures.
S01;Z01;2017-06-22;44.94;87.52;Variations mineures.
S01;Z01;2017-06-23;42.18;78.47;Conditions stables.
