plantid;date;siteid;zoneid;placetteid;parcelleid;coordx;coordy;note
MMA1001;2017-05-15;S01;Z01;A1;11;0.58;0.23;Légère variabilité observée.
MMA1001;2017-06-15;S01;Z01;A1;11;0.48;0.12;Rien à signaler.
MMA1001;2017-07-15;S01;Z01;A1;11;0.20;0.64;Rien à signaler.
MMA1001;2017-08-15;S01;Z01;A1;11;0.37;0.11;Condition normale pour la saison.
MMA1001;2017-09-15;S01;Z01;A1;11;0.61;0.76;Condition normale pour la saison.
MMA1001;2017-10-15;S01;Z01;A1;11;0.41;0.84;Légère variabilité observée.
MMA1002;2017-05-15;S01;Z01;A1;11;0.38;0.67;Condition normale pour la saison.
MMA1002;2017-06-15;S01;Z01;A1;11;0.59;0.51;Rien à signaler.
MMA1002;2017-07-15;S01;Z01;A1;11;0.17;0.70;Légère variabilité observée.
MMA1002;2017-08-15;S01;Z01;A1;11;0.34;0.81;Légère variabilité observée.
MMA1002;2017-09-15;S01;Z01;A1;11;0.30;0.50;Rien à signaler.
MMB4086;2017-09-15;S01;Z02;B4;12;0.67;0.12;Condition normale pour la saison.
MMA1003;2017-06-15;S01;Z01;A1;11;0.46;0.81;Rien à signaler.
MMA2044;2017-06-15;S01;Z01;A2;11;0.56;0.17;Rien à signaler.
MMA2072;2017-06-15;S01;Z01;A2;11;0.27;0.19;Rien à signaler.
MMA3056;2017-10-15;S01;Z01;A3;12;0.81;0.60;Rien à signaler.
MMA3099;2017-09-15;S01;Z01;A3;12;0.54;0.85;Rien à signaler.
MMA4027;2017-07-15;S01;Z01;A4;11;0.78;0.35;Rien à signaler.
MMA4041;2017-08-15;S01;Z01;A4;11;0.83;0.16;Rien à signaler.
MMB2067;2017-08-15;S01;Z02;B2;11;0.64;0.50;Rien à signaler.
MMB4007;2017-10-15;S01;Z02;B4;12;0.20;0.36;Rien à signaler.
MMB4078;2017-08-15;S01;Z02;B4;12;0.57;0.24;Rien à signaler.
MMA1002;2017-10-15;S01;Z01;A1;11;0.79;0.91;Condition normale pour la saison.
MMA1003;2017-05-15;S01;Z01;A1;11;0.58;0.49;Condition normale pour la saison.
MMA1003;2017-07-15;S01;Z01;A1;11;0.73;0.77;Condition normale pour la saison.
MMA1003;2017-08-15;S01;Z01;A1;11;0.05;0.13;Condition normale pour la saison.
MMA1003;2017-09-15;S01;Z01;A1;11;0.21;0.64;Condition normale pour la saison.
MMA1003;2017-10-15;S01;Z01;A1;11;0.75;0.08;Condition normale pour la saison.
MMA1004;2017-05-15;S01;Z01;A1;11;0.13;0.30;Condition normale pour la saison.
MMA1004;2017-06-15;S01;Z01;A1;11;0.67;0.92;Condition normale pour la saison.
MMA1004;2017-07-15;S01;Z01;A1;11;0.69;0.78;Condition normale pour la saison.
MMA1004;2017-08-15;S01;Z01;A1;11;0.84;0.53;Légère variabilité observée.
MMA1004;2017-09-15;S01;Z01;A1;11;0.91;0.82;Condition normale pour la saison.
MMA1004;2017-10-15;S01;Z01;A1;11;0.24;0.46;Condition normale pour la saison.
MMA1005;2017-05-15;S01;Z01;A1;11;0.70;0.70;Condition normale pour la saison.
MMA1005;2017-06-15;S01;Z01;A1;11;0.40;0.62;Légère variabilité observée.
MMA1005;2017-07-15;S01;Z01;A1;11;0.27;0.12;Condition normale pour la saison.
MMA1005;2017-08-15;S01;Z01;A1;11;0.57;0.24;Légère variabilité observée.
MMA1005;2017-09-15;S01;Z01;A1;11;0.65;0.76;Condition normale pour la saison.
MMA1005;2017-10-15;S01;Z01;A1;11;0.66;0.58;Condition normale pour la saison.
MMA1006;2017-05-15;S01;Z01;A1;11;0.29;0.32;Condition normale pour la saison.
MMA1006;2017-06-15;S01;Z01;A1;11;0.66;0.53;Condition normale pour la saison.
MMA1006;2017-07-15;S01;Z01;A1;11;0.70;0.55;Rien à signaler.
MMA1006;2017-08-15;S01;Z01;A1;11;0.71;0.93;Rien à signaler.
MMA1006;2017-09-15;S01;Z01;A1;11;0.31;0.67;Légère variabilité observée.
