siteid;zoneid;date;typeprecipitation;precipitationtotale;note
S01;Z01;2017-05-01;P;10.15;Variations mineures.
S01;Z01;2017-05-02;P;2.75;Variations mineures.
S01;Z01;2017-05-03;P;14.48;Variations mineures.
S01;Z01;2017-05-04;P;4.94;Variations mineures.
S01;Z01;2017-05-05;P;5.07;Variations mineures.
S01;Z01;2017-05-06;P;14.50;Conditions stables.
S01;Z01;2017-05-07;P;7.43;Variations mineures.
S01;Z01;2017-05-08;P;10.53;Variations mineures.
S01;Z01;2017-05-09;P;9.75;Journée représentative.
S01;Z01;2017-05-10;P;3.33;Journée représentative.
S01;Z01;2017-05-11;P;5.58;Journée représentative.
S01;Z01;2017-05-12;P;14.16;Journée représentative.
S01;Z01;2017-05-13;P;5.42;Conditions stables.
S01;Z01;2017-05-14;P;9.76;Variations mineures.
S01;Z01;2017-05-15;P;13.87;Journée représentative.
S01;Z01;2017-05-16;P;6.19;Conditions stables.
S01;Z01;2017-05-17;P;3.55;Variations mineures.
S01;Z01;2017-05-18;P;9.16;Conditions stables.
S01;Z01;2017-05-19;P;11.26;Variations mineures.
S01;Z01;2017-05-20;P;12.32;Journée représentative.
S01;Z01;2017-05-21;P;4.12;Journée représentative.
S01;Z01;2017-05-22;P;13.71;Conditions stables.
S01;Z01;2017-05-23;P;5.68;Variations mineures.
S01;Z01;2017-05-24;P;5.38;Variations mineures.
S01;Z01;2017-05-25;P;14.85;Variations mineures.
S01;Z01;2017-05-26;P;0.20;Variations mineures.
S01;Z01;2017-05-27;P;0.61;Conditions stables.
S01;Z01;2017-05-28;P;12.15;Variations mineures.
S01;Z01;2017-05-29;P;3.84;Journée représentative.
S01;Z01;2017-05-30;P;5.67;Variations mineures.
S01;Z01;2017-05-31;P;9.63;Journée représentative.
S01;Z01;2017-06-01;P;7.94;Variations mineures.
S01;Z01;2017-06-02;P;4.90;Journée représentative.
S01;Z01;2017-06-03;P;13.01;Conditions stables.
S01;Z01;2017-06-04;P;10.63;Variations mineures.
S01;Z01;2017-06-05;P;3.73;Variations mineures.
S01;Z01;2017-06-06;P;8.14;Variations mineures.
S01;Z01;2017-06-07;P;11.83;Conditions stables.
S01;Z01;2017-06-08;P;2.00;Variations mineures.
