siteid;zoneid;date;pressionmin;pressionmax;note
S01;Z01;2017-05-01;999.13;1014.63;Conditions stables.
S01;Z01;2017-05-02;998.57;1014.84;Conditions stables.
S01;Z01;2017-05-03;1008.16;1020.26;Variations mineures.
S01;Z01;2017-05-04;990.51;1025.10;Variations mineures.
S01;Z01;2017-05-05;991.16;1012.56;Conditions stables.
S01;Z01;2017-05-06;993.67;1020.33;Conditions stables.
S01;Z01;2017-05-07;997.39;1021.74;Conditions stables.
S01;Z01;2017-05-08;991.78;1024.58;Variations mineures.
S01;Z01;2017-05-09;1000.77;1026.12;Conditions stables.
S01;Z01;2017-05-10;999.12;1020.52;Variations mineures.
S01;Z01;2017-05-11;999.99;1028.89;Conditions stables.
S01;Z01;2017-05-12;999.58;1013.73;Variations mineures.
S01;Z01;2017-05-13;1009.07;1022.61;Variations mineures.
S01;Z01;2017-05-14;999.87;1018.07;Variations mineures.
S01;Z01;2017-05-15;1001.63;1029.52;Conditions stables.
S01;Z01;2017-05-16;1001.79;1022.45;Variations mineures.
S01;Z01;2017-05-17;991.05;1021.14;Conditions stables.
S01;Z01;2017-05-18;1007.69;1015.36;Journée représentative.
S01;Z01;2017-05-19;1007.37;1029.79;Conditions stables.
S01;Z01;2017-05-20;992.89;1024.39;Variations mineures.
S01;Z01;2017-05-21;993.88;1023.41;Journée représentative.
S01;Z01;2017-05-22;991.04;1028.07;Journée représentative.
S01;Z01;2017-05-23;993.86;1015.61;Variations mineures.
S01;Z01;2017-05-24;999.97;1012.84;Variations mineures.
S01;Z01;2017-05-25;1003.60;1019.02;Conditions stables.
S01;Z01;2017-05-26;994.30;1015.93;Variations mineures.
S01;Z01;2017-05-27;1003.10;1015.83;Variations mineures.
S01;Z01;2017-05-28;995.75;1013.86;Variations mineures.
S01;Z01;2017-05-29;991.50;1020.05;Variations mineures.
S01;Z01;2017-05-30;994.09;1021.83;Journée représentative.
S01;Z01;2017-05-31;995.85;1029.51;Journée représentative.
S01;Z01;2017-06-01;1002.63;1016.70;Variations mineures.
S01;Z01;2017-06-02;1000.65;1014.29;Variations mineures.
S01;Z01;2017-06-03;997.74;1028.80;Variations mineures.
S01;Z01;2017-06-04;999.72;1019.24;Conditions stables.
S01;Z01;2017-06-05;1003.63;1027.17;Conditions stables.
S01;Z01;2017-06-06;1009.16;1027.52;Variations mineures.
S01;Z01;2017-06-07;1006.14;1029.52;Conditions stables.
S01;Z01;2017-06-08;997.09;1016.24;Journée représentative.
S01;Z01;2017-06-09;1009.08;1013.87;Variations mineures.
S01;Z01;2017-06-10;996.11;1011.19;Journée représentative.
S01;Z01;2017-06-11;1006.64;1015.64;Journée représentative.
S01;Z01;2017-06-12;1007.42;1012.24;Journée représentative.
S01;Z01;2017-06-13;995.90;1016.07;Conditions stables.
S01;Z01;2017-06-14;1002.89;1011.31;Conditions stables.
S01;Z01;2017-06-15;1009.20;1014.54;Journée représentative.
S01;Z01;2017-06-16;998.81;1014.80;Conditions stables.
S01;Z01;2017-06-17;991.07;1025.11;Variations mineures.
S01;Z01;2017-06-18;999.35;1023.25;Variations mineures.
S01;Z01;2017-06-19;1007.04;1015.19;Variations mineures.
S01;Z01;2017-06-20;994.25;1027.57;Variations mineures.
S01;Z01;2017-06-21;997.69;1010.21;Journée représentative.
S01;Z01;2017-06-22;999.01;1025.30;Conditions stables.
S01;Z01;2017-06-23;1002.75;1018.60;Journée représentative.
S01;Z01;2017-06-24;1004.07;1019.83;Variations mineures.
S01;Z01;2017-06-25;996.80;1011.91;Variations mineures.
S01;Z01;2017-06-26;1006.96;1019.69;Variations mineures.
S01;Z01;2017-06-27;1000.59;1022.80;Conditions stables.
S01;Z01;2017-06-28;1002.46;1028.43;Conditions stables.
S01;Z01;2017-06-29;993.70;1014.87;Journée représentative.
S01;Z01;2017-06-30;997.58;1026.97;Variations mineures.
S01;Z01;2017-07-01;1007.99;1012.96;Journée représentative.
S01;Z01;2017-07-02;1005.90;1029.21;Variations mineures.
S01;Z01;2017-07-03;994.50;1014.08;Variations mineures.
S01;Z01;2017-07-04;995.30;1027.05;Variations mineures.
S01;Z01;2017-07-05;998.41;1029.21;Variations mineures.
S01;Z01;2017-07-06;1001.93;1020.37;Variations mineures.
S01;Z01;2017-07-07;999.14;1028.26;Conditions stables.
S01;Z01;2017-07-08;1005.29;1027.16;Journée représentative.
S01;Z01;2017-07-09;990.22;1012.73;Conditions stables.
S01;Z01;2017-07-10;997.56;1028.65;Conditions stables.
S01;Z01;2017-07-11;1002.49;1016.98;Journée représentative.
S01;Z01;2017-07-12;992.93;1015.13;Journée représentative.
S01;Z01;2017-07-13;998.82;1023.94;Journée représentative.
S01;Z01;2017-07-14;1002.68;1023.71;Variations mineures.
S01;Z01;2017-07-15;999.96;1013.78;Variations mineures.
S01;Z01;2017-07-16;1002.01;1028.00;Conditions stables.
S01;Z01;2017-07-17;1002.24;1018.40;Journée représentative.
S01;Z01;2017-07-18;1009.95;1011.17;Journée représentative.
S01;Z01;2017-07-19;1003.45;1029.65;Variations mineures.
S01;Z01;2017-07-20;991.33;1025.23;Variations mineures.
S01;Z01;2017-07-21;1005.00;1018.68;Conditions stables.
S01;Z01;2017-07-22;1005.92;1019.04;Variations mineures.
S01;Z01;2017-07-23;993.64;1011.92;Journée représentative.
S01;Z01;2017-07-24;998.57;1019.92;Variations mineures.
S01;Z01;2017-07-25;999.19;1023.96;Journée représentative.
S01;Z01;2017-07-26;1005.28;1020.89;Variations mineures.
S01;Z01;2017-07-27;992.03;1026.02;Journée représentative.
S01;Z01;2017-07-28;1002.80;1019.20;Variations mineures.
S01;Z01;2017-07-29;1002.42;1027.24;Conditions stables.
S01;Z01;2017-07-30;993.25;1019.74;Conditions stables.
S01;Z01;2017-07-31;991.19;1017.74;Variations mineures.
S01;Z01;2017-08-01;990.93;1016.32;Variations mineures.
S01;Z01;2017-08-02;1009.53;1016.29;Journée représentative.
S01;Z01;2017-08-03;996.88;1011.90;Variations mineures.
S01;Z01;2017-08-04;998.70;1014.66;Conditions stables.
S01;Z01;2017-08-05;1001.93;1017.21;Variations mineures.
S01;Z01;2017-08-06;997.45;1024.43;Variations mineures.
S01;Z01;2017-08-07;998.34;1021.39;Conditions stables.
S01;Z01;2017-08-08;1002.21;1016.02;Variations mineures.
S01;Z01;2017-08-09;992.41;1010.54;Conditions stables.
S01;Z01;2017-08-10;1002.71;1015.96;Conditions stables.
S01;Z01;2017-08-11;1003.55;1018.08;Journée représentative.
S01;Z01;2017-08-12;997.80;1018.66;Journée représentative.
S01;Z01;2017-08-13;1007.16;1011.27;Conditions stables.
S01;Z01;2017-08-14;999.27;1015.34;Variations mineures.
S01;Z01;2017-08-15;1002.55;1017.31;Conditions stables.
S01;Z01;2017-08-16;1000.13;1010.11;Conditions stables.
S01;Z01;2017-08-17;999.07;1025.63;Variations mineures.
S01;Z01;2017-08-18;995.22;1015.71;Conditions stables.
S01;Z01;2017-08-19;999.76;1026.46;Conditions stables.
S01;Z01;2017-08-20;995.86;1021.35;Journée représentative.
S01;Z01;2017-08-21;994.33;1025.57;Variations mineures.
S01;Z01;2017-08-22;990.12;1026.98;Variations mineures.
S01;Z01;2017-08-23;998.45;1014.89;Variations mineures.
S01;Z01;2017-08-24;1003.00;1028.57;Variations mineures.
S01;Z01;2017-08-25;993.03;1018.53;Conditions stables.
S01;Z01;2017-08-26;1002.90;1021.02;Journée représentative.
S01;Z01;2017-08-27;999.26;1024.86;Variations mineures.
S01;Z01;2017-08-28;994.78;1014.92;Journée représentative.
S01;Z01;2017-08-29;999.03;1014.52;Conditions stables.
S01;Z01;2017-08-30;1006.88;1028.11;Conditions stables.
S01;Z01;2017-08-31;995.18;1019.60;Conditions stables.
S01;Z01;2017-09-01;999.85;1013.47;Journée représentative.
S01;Z01;2017-09-02;1006.01;1014.56;Variations mineures.
S01;Z01;2017-09-03;990.94;1018.14;Variations mineures.
S01;Z01;2017-09-04;1006.29;1019.78;Conditions stables.
S01;Z01;2017-09-05;998.27;1024.06;Conditions stables.
S01;Z01;2017-09-06;1000.99;1022.81;Conditions stables.
S01;Z01;2017-09-07;991.88;1014.76;Variations mineures.
S01;Z01;2017-09-08;1008.15;1022.39;Variations mineures.
S01;Z01;2017-09-09;1003.56;1024.16;Variations mineures.
S01;Z01;2017-09-10;995.68;1021.54;Conditions stables.
S01;Z01;2017-09-11;1008.40;1023.38;Conditions stables.
S01;Z01;2017-09-12;992.22;1010.38;Variations mineures.
S01;Z01;2017-09-13;1002.61;1022.67;Variations mineures.
S01;Z01;2017-09-14;1002.89;1022.72;Variations mineures.
S01;Z01;2017-09-15;992.70;1018.32;Variations mineures.
S01;Z01;2017-09-16;999.83;1011.02;Variations mineures.
S01;Z01;2017-09-17;995.21;1020.93;Variations mineures.
S01;Z01;2017-09-18;1008.09;1019.16;Conditions stables.
S01;Z01;2017-09-19;999.99;1019.66;Journée représentative.
S01;Z01;2017-09-20;994.17;1023.29;Journée représentative.
S01;Z01;2017-09-21;1008.34;1013.87;Conditions stables.
S01;Z01;2017-09-22;1000.05;1024.96;Journée représentative.
S01;Z01;2017-09-23;1006.00;1016.72;Variations mineures.
S01;Z01;2017-09-24;998.52;1028.10;Conditions stables.
S01;Z01;2017-09-25;990.29;1016.44;Variations mineures.
S01;Z01;2017-09-26;1007.68;1029.90;Journée représentative.
S01;Z01;2017-09-27;1004.89;1022.83;Conditions stables.
