siteid;zoneid;date;temperaturemin;temperaturemax;note
S01;Z01;2017-05-01;10.27;29.57;Journée représentative.
S01;Z01;2017-05-02;7.64;24.84;Conditions stables.
S01;Z01;2017-05-03;8.06;28.77;Variations mineures.
S01;Z01;2017-05-04;5.90;24.42;Journée représentative.
S01;Z01;2017-05-05;13.97;20.43;Variations mineures.
S01;Z01;2017-05-06;13.59;28.16;Conditions stables.
S01;Z01;2017-05-07;7.74;28.07;Journée représentative.
S01;Z01;2017-05-08;7.79;22.21;Journée représentative.
S01;Z01;2017-05-09;11.74;22.39;Variations mineures.
S01;Z01;2017-05-10;11.56;28.91;Variations mineures.
S01;Z01;2017-05-11;13.04;22.75;Conditions stables.
S01;Z01;2017-05-12;7.21;23.89;Conditions stables.
S01;Z01;2017-05-13;14.72;31.35;Journée représentative.
S01;Z01;2017-05-14;7.12;26.64;Variations mineures.
S01;Z01;2017-05-15;9.07;30.60;Journée représentative.
S01;Z01;2017-05-16;8.88;29.44;Variations mineures.
S01;Z01;2017-05-17;10.56;20.30;Variations mineures.
S01;Z01;2017-05-18;14.20;33.53;Conditions stables.
S01;Z01;2017-05-19;13.52;25.83;Variations mineures.
S01;Z01;2017-05-20;12.15;25.36;Variations mineures.
S01;Z01;2017-05-21;11.60;24.05;Conditions stables.
S01;Z01;2017-05-22;5.66;32.31;Variations mineures.
S01;Z01;2017-05-23;7.29;31.94;Journée représentative.
S01;Z01;2017-05-24;8.07;32.39;Conditions stables.
S01;Z01;2017-05-25;8.02;24.14;Conditions stables.
S01;Z01;2017-05-26;5.79;27.32;Variations mineures.
S01;Z01;2017-05-27;7.83;21.42;Conditions stables.
S01;Z01;2017-05-28;12.00;34.46;Variations mineures.
S01;Z01;2017-05-29;14.48;22.34;Variations mineures.
S01;Z01;2017-05-30;11.75;30.92;Conditions stables.
S01;Z01;2017-05-31;10.23;30.29;Conditions stables.
S01;Z01;2017-06-01;10.56;25.69;Variations mineures.
S01;Z01;2017-06-02;5.62;31.00;Variations mineures.
S01;Z01;2017-06-03;7.11;28.04;Conditions stables.
S01;Z01;2017-06-04;12.50;31.29;Journée représentative.
S01;Z01;2017-06-05;14.52;23.71;Variations mineures.
S01;Z01;2017-06-06;14.10;20.78;Variations mineures.
S01;Z01;2017-06-07;13.11;20.97;Conditions stables.
S01;Z01;2017-06-08;11.05;21.51;Conditions stables.
S01;Z01;2017-06-09;7.84;31.69;Conditions stables.
S01;Z01;2017-06-10;8.45;24.58;Variations mineures.
S01;Z01;2017-06-11;8.17;25.06;Conditions stables.
S01;Z01;2017-06-12;10.16;22.95;Variations mineures.
S01;Z01;2017-06-13;12.71;24.78;Variations mineures.
S01;Z01;2017-06-14;7.62;28.63;Variations mineures.
S01;Z01;2017-06-15;11.39;33.15;Conditions stables.
S01;Z01;2017-06-16;12.00;27.07;Variations mineures.
S01;Z01;2017-06-17;10.02;30.68;Variations mineures.
