siteid;zoneid;date;ventmin;ventmax;note
"S01";"Z01";"2017-05-01";"4.95";"18.16";"Variations mineures."
"S01";"Z01";"2017-05-02";"5.00";"12.67";"Variations mineures."
"S01";"Z01";"2017-05-03";"1.06";"21.35";"Variations mineures."
"S01";"Z01";"2017-05-04";"4.72";"15.19";"Journée représentative."
"S01";"Z01";"2017-05-05";"1.60";"19.62";"Journée représentative."
"S01";"Z01";"2017-05-06";"4.19";"18.15";"Journée représentative."
"S01";"Z01";"2017-05-07";"2.34";"14.59";"Variations mineures."
"S01";"Z01";"2017-05-08";"0.12";"13.44";"Variations mineures."
"S01";"Z01";"2017-05-09";"3.83";"25.55";"Journée représentative."
"S01";"Z01";"2017-05-10";"0.23";"24.88";"Journée représentative."
"S01";"Z01";"2017-05-11";"2.54";"24.35";"Conditions stables."
"S01";"Z01";"2017-05-12";"1.99";"11.01";"Variations mineures."
"S01";"Z01";"2017-05-13";"2.85";"26.11";"Journée représentative."
"S01";"Z01";"2017-05-14";"4.21";"12.43";"Journée représentative."
"S01";"Z01";"2017-05-15";"0.24";"27.07";"Variations mineures."
"S01";"Z01";"2017-05-16";"0.65";"15.25";"Conditions stables."
"S01";"Z01";"2017-05-17";"4.64";"29.61";"Journée représentative."
"S01";"Z01";"2017-05-18";"3.29";"16.24";"Journée représentative."
"S01";"Z01";"2017-05-19";"4.22";"29.03";"Journée représentative."
"S01";"Z01";"2017-05-20";"2.22";"29.61";"Journée représentative."
"S01";"Z01";"2017-05-21";"0.03";"17.17";"Journée représentative."
"S01";"Z01";"2017-05-22";"3.85";"25.42";"Variations mineures."
"S01";"Z01";"2017-05-23";"3.31";"21.09";"Variations mineures."
"S01";"Z01";"2017-05-24";"1.86";"21.65";"Conditions stables."
"S01";"Z01";"2017-05-25";"2.29";"13.99";"Conditions stables."
"S01";"Z01";"2017-05-26";"2.85";"26.66";"Journée représentative."
"S01";"Z01";"2017-05-27";"2.22";"26.40";"Conditions stables."
"S01";"Z01";"2017-05-28";"4.92";"16.88";"Variations mineures."
"S01";"Z01";"2017-05-29";"2.69";"22.12";"Variations mineures."
"S01";"Z01";"2017-05-30";"1.03";"27.10";"Journée représentative."
"S01";"Z01";"2017-05-31";"4.65";"26.38";"Variations mineures."
"S01";"Z01";"2017-06-01";"4.14";"17.51";"Variations mineures."
"S01";"Z01";"2017-06-02";"4.66";"19.63";"Variations mineures."
"S01";"Z01";"2017-06-03";"0.71";"29.88";"Variations mineures."
"S01";"Z01";"2017-06-04";"1.31";"23.02";"Journée représentative."
"S01";"Z01";"2017-06-05";"2.03";"21.54";"Variations mineures."
"S01";"Z01";"2017-06-06";"1.30";"11.26";"Journée représentative."
"S01";"Z01";"2017-06-07";"0.48";"23.68";"Variations mineures."
"S01";"Z01";"2017-06-08";"0.48";"24.57";"Variations mineures."
"S01";"Z01";"2017-06-09";"3.56";"20.71";"Journée représentative."
"S01";"Z01";"2017-06-10";"1.35";"13.73";"Variations mineures."
"S01";"Z01";"2017-06-11";"3.26";"10.85";"Variations mineures."
"S01";"Z01";"2017-06-12";"1.40";"16.31";"Variations mineures."
"S01";"Z01";"2017-06-13";"2.92";"10.20";"Variations mineures."
"S01";"Z01";"2017-06-14";"1.87";"17.53";"Variations mineures."
"S01";"Z01";"2017-06-15";"1.94";"28.90";"Variations mineures."
"S01";"Z01";"2017-06-16";"3.52";"23.46";"Journée représentative."
"S01";"Z01";"2017-06-17";"4.68";"13.66";"Conditions stables."
"S01";"Z01";"2017-06-18";"3.86";"21.41";"Conditions stables."
"S01";"Z01";"2017-06-19";"0.92";"26.21";"Variations mineures."
"S01";"Z01";"2017-06-20";"0.96";"23.67";"Conditions stables."
"S01";"Z01";"2017-06-21";"4.14";"23.83";"Variations mineures."
"S01";"Z01";"2017-06-22";"0.61";"14.02";"Conditions stables."
"S01";"Z01";"2017-06-23";"4.71";"28.98";"Variations mineures."
"S01";"Z01";"2017-06-24";"1.30";"10.41";"Variations mineures."
"S01";"Z01";"2017-06-25";"1.90";"16.14";"Conditions stables."
"S01";"Z01";"2017-06-26";"0.67";"25.31";"Conditions stables."
"S01";"Z01";"2017-06-27";"3.16";"14.56";"Journée représentative."
"S01";"Z01";"2017-06-28";"0.11";"11.90";"Variations mineures."
"S01";"Z01";"2017-06-29";"4.82";"21.20";"Variations mineures."
"S01";"Z01";"2017-06-30";"4.42";"29.40";"Journée représentative."
"S01";"Z01";"2017-07-01";"4.21";"18.94";"Variations mineures."
"S01";"Z01";"2017-07-02";"0.94";"19.68";"Conditions stables."
"S01";"Z01";"2017-07-03";"0.18";"11.64";"Journée représentative."
"S01";"Z01";"2017-07-04";"2.24";"11.75";"Variations mineures."
"S01";"Z01";"2017-07-05";"2.65";"23.97";"Variations mineures."
"S01";"Z01";"2017-07-06";"3.57";"14.52";"Conditions stables."
"S01";"Z01";"2017-07-07";"3.80";"23.44";"Variations mineures."
"S01";"Z01";"2017-07-08";"1.42";"22.85";"Variations mineures."
"S01";"Z01";"2017-07-09";"0.53";"14.79";"Journée représentative."
"S01";"Z01";"2017-07-10";"3.20";"14.63";"Variations mineures."
"S01";"Z01";"2017-07-11";"3.04";"10.50";"Conditions stables."
"S01";"Z01";"2017-07-12";"2.46";"23.86";"Conditions stables."
"S01";"Z01";"2017-07-13";"2.84";"24.65";"Variations mineures."
"S01";"Z01";"2017-07-14";"2.23";"22.33";"Variations mineures."
"S01";"Z01";"2017-07-15";"4.84";"24.31";"Journée représentative."
"S01";"Z01";"2017-07-16";"1.21";"17.22";"Variations mineures."
"S01";"Z01";"2017-07-17";"2.34";"28.86";"Variations mineures."
"S01";"Z01";"2017-07-18";"2.99";"13.50";"Journée représentative."
"S01";"Z01";"2017-07-19";"4.71";"12.20";"Journée représentative."
"S01";"Z01";"2017-07-20";"4.82";"28.86";"Conditions stables."
"S01";"Z01";"2017-07-21";"2.76";"26.64";"Variations mineures."
"S01";"Z01";"2017-07-22";"3.56";"18.33";"Conditions stables."
"S01";"Z01";"2017-07-23";"1.62";"27.92";"Conditions stables."
"S01";"Z01";"2017-07-24";"0.59";"18.90";"Journée représentative."
"S01";"Z01";"2017-07-25";"0.93";"13.44";"Conditions stables."
"S01";"Z01";"2017-07-26";"3.72";"17.59";"Variations mineures."
"S01";"Z01";"2017-07-27";"3.03";"16.12";"Conditions stables."
"S01";"Z01";"2017-07-28";"0.19";"23.06";"Journée représentative."
"S01";"Z01";"2017-07-29";"2.46";"10.85";"Journée représentative."
"S01";"Z01";"2017-07-30";"4.13";"25.97";"Journée représentative."
"S01";"Z01";"2017-07-31";"2.20";"19.16";"Conditions stables."
"S01";"Z01";"2017-08-01";"3.31";"10.02";"Journée représentative."
"S01";"Z01";"2017-08-02";"0.27";"12.59";"Variations mineures."
"S01";"Z01";"2017-08-03";"0.06";"19.62";"Journée représentative."
"S01";"Z01";"2017-08-04";"4.15";"10.63";"Journée représentative."
"S01";"Z01";"2017-08-05";"0.16";"17.96";"Variations mineures."
"S01";"Z01";"2017-08-06";"4.69";"17.04";"Journée représentative."
"S01";"Z01";"2017-08-07";"3.98";"14.37";"Conditions stables."
"S01";"Z01";"2017-08-08";"4.07";"22.01";"Conditions stables."
"S01";"Z01";"2017-08-09";"2.11";"10.53";"Variations mineures."
"S01";"Z01";"2017-08-10";"4.03";"22.37";"Variations mineures."
"S01";"Z01";"2017-08-11";"2.10";"27.08";"Conditions stables."
"S01";"Z01";"2017-08-12";"2.77";"12.65";"Variations mineures."
"S01";"Z01";"2017-08-13";"0.38";"16.73";"Variations mineures."
"S01";"Z01";"2017-08-14";"0.09";"17.78";"Variations mineures."
"S01";"Z01";"2017-08-15";"3.92";"16.65";"Variations mineures."
"S01";"Z01";"2017-08-16";"4.39";"16.88";"Journée représentative."
"S01";"Z01";"2017-08-17";"1.12";"13.36";"Conditions stables."
"S01";"Z01";"2017-08-18";"0.97";"12.56";"Variations mineures."
"S01";"Z01";"2017-08-19";"4.65";"15.44";"Conditions stables."
"S01";"Z01";"2017-08-20";"2.74";"19.47";"Conditions stables."
"S01";"Z01";"2017-08-21";"4.99";"29.05";"Conditions stables."
"S01";"Z01";"2017-08-22";"3.12";"23.69";"Journée représentative."
"S01";"Z01";"2017-08-23";"0.82";"17.19";"Journée représentative."
"S01";"Z01";"2017-08-24";"1.35";"18.15";"Journée représentative."
"S01";"Z01";"2017-08-25";"3.34";"28.31";"Variations mineures."
"S01";"Z01";"2017-08-26";"4.18";"28.94";"Conditions stables."
"S01";"Z01";"2017-08-27";"1.91";"22.55";"Variations mineures."
"S01";"Z01";"2017-08-28";"4.62";"10.74";"Variations mineures."
"S01";"Z01";"2017-08-29";"3.86";"21.66";"Variations mineures."
